"","name","degree","betweenness","Abundance","module","z","p","taxa_roles","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_8187","OTU_8187",3,14,0.0492618350414837,"M3",-0.33920680312671,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__"
"OTU_3143","OTU_3143",9,8,0.0274524158125915,"M1",-0.289138638546812,0.18,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Nitrospinaceae","g__","s__"
"OTU_1287","OTU_1287",1,0,0.0349255734504636,"M16",-0.707106781186547,0.5,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__","o__","f__","g__","s__"
"OTU_7629","OTU_7629",15,261,0.0297401171303075,"M1",0.266007547463067,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_4108","OTU_4108",1,0,0.0205893118594436,"M5",-0.752564215033007,0.666666666666667,"Connectors","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfobulbus","s__"
"OTU_1166","OTU_1166",22,2818,0.0700036603221083,"M1",0.913678097807924,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobacteraceae","g__Sva0081 sediment group","s__"
"OTU_2260","OTU_2260",1,0,0.0154038555392875,"M20",NA,NA,NA,"k__Bacteria","p__Chloroflexi","c__JG30-KF-CM66","o__","f__","g__","s__"
"OTU_1632","OTU_1632",1,0,0.0149463152757443,"M4",-0.704399932401065,0,"Peripheral nodes","k__Bacteria","p__Chlorobi","c__Ignavibacteria","o__Ignavibacteriales","f__BSV26","g__","s__"
"OTU_3276","OTU_3276",7,739,0.035688140556369,"M5",1.38630250137659,0.1171875,"Peripheral nodes","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__Nitrospiraceae","g__","s__"
"OTU_11307","OTU_11307",2,34,0.0192166910688141,"M4",-0.295393520039156,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__"
"OTU_7415","OTU_7415",8,550,0.0779343582235237,"M3",0.584649124088314,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__"
"OTU_3522","OTU_3522",7,48,0.0149463152757443,"M4",1.74963854177039,0.244897959183674,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Bryobacter","s__"
"OTU_7648","OTU_7648",7,207,0.0462115666178624,"M3",0.399877938645309,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__"
