,M2,M8,M14,M6,M4,M3,M12,M1,M7,M10,M9,M11,M13,M5
S209,1.997538872,0.896734511,0.791742051,4.351561333,-0.815432014,-1.866182215,0.526942825,1.487048635,-0.404174776,0.019345553,0.688105437,-0.233064751,-0.369863282,-0.518632939
S210,2.172691785,-0.23015915,0.361645226,3.001974926,-0.833856612,-1.970401487,0.228338812,1.490099274,0.220315248,0.083199695,6.9211896,-2.066790583,-3.623043854,-0.518632939
S213,2.116704974,0.527423062,0.079972206,-0.710069826,-0.837155212,-1.707470724,0.032929019,1.404847466,-0.030582137,0.690825727,1.631415616,0.598288312,-3.094676226,-0.455529164
S214,1.986788436,0.778545884,0.95470146,-0.112616997,-0.587338737,-1.940191973,0.174291392,1.440175398,1.281797207,-0.827505727,0.112079196,-1.179317878,0.014196691,-0.444992883
S215,2.082178843,0.23258617,-1.143899499,0.768718104,-0.869283432,-1.884371058,0.738990357,1.479334033,-1.297351443,1.008381511,12.71124513,-1.059671798,-0.706677331,-0.518632939
S216,2.398711255,0.817241048,-4.261418659,2.750394204,-0.872602301,-1.821376836,0.094508849,1.411770577,0.543200162,1.261209768,14.32663472,-1.819546843,-1.665132977,-0.329824386
S217,2.013991902,0.898287636,0.844956907,1.163474011,-0.864454473,-1.896628737,-0.444400375,1.419775588,-4.889523745,0.525522433,4.680073405,0.366096397,-1.045506962,-0.372232751
S218,1.307672055,1.089151539,0.256738663,-0.776331426,-0.877530538,-1.943285138,3.126072916,1.519640798,0.435096852,1.444137567,0.649573895,0.598288312,-4.682592396,-0.479025809
S219,2.02954405,1.292611802,0.291023821,-0.4807331,-0.811236101,-1.815775984,0.182384521,1.439010355,1.077111549,1.909430453,10.51042924,-0.226812443,-0.511446618,-0.381755404
S220,1.896732827,0.37588385,-0.273761323,-0.415128138,-0.880673522,-1.596842579,4.733722567,1.474064374,1.239958491,1.783938582,1.643152982,0.270494642,-0.458352867,-0.499025603
S221,2.131759725,0.515339541,-1.733791277,2.793489334,-0.808174834,-1.824768156,1.099598373,1.493634625,1.460834125,-0.309127181,7.555204288,-1.801289451,-2.868944691,-0.340677957
S222,2.722469218,0.930634941,-0.019618357,0.738833004,-0.876930086,-1.940626405,5.416571337,1.490697975,1.370389988,1.05428997,4.140474037,-1.686003424,-1.806516719,-0.502956807
S223,2.691623772,0.653159764,-0.186114554,-0.833529241,-0.872362636,-1.98593196,7.878138957,1.566491971,1.719344696,-0.648195685,3.459260682,-0.89876492,0.181141759,-0.377094182
S224,1.917285473,0.426901009,0.868699629,-0.739682949,-0.859735911,-1.807638732,0.799087142,1.37968407,-0.081320107,2.217329757,7.406316716,0.4328284,-0.4173088,-0.46833472
S225,1.981818952,-0.196937941,-0.981400099,2.286417141,-0.872098897,-1.829702974,-0.776723403,1.469189909,0.889228724,0.883441845,0.970846287,-3.735170072,-0.422957033,-0.462134779
