"Taxa","Method","Group","LDA","P.unadj","P.adj"
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter","LEfSe","CW",3.45371969046472,1.65052985516682e-10,3.30534680086655e-09
"k__Bacteria|p__Acidobacteria|c__Acidobacteria|o__Acidobacteriales|f__Acidobacteriaceae (Subgroup 1)|g__Candidatus Koribacter","LEfSe","IW",3.45227850050448,2.72451272904713e-12,1.90963574008667e-10
"k__Bacteria|p__Planctomycetes|c__OM190","LEfSe","CW",3.41925717450731,3.43512952112154e-08,2.86322687652401e-07
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae","LEfSe","TW",3.41656505377203,1.57799307922688e-08,1.44837221914753e-07
"k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Saprospiraceae","LEfSe","TW",3.41161917216959,0.000105407662281833,0.000362001370241841
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Pseudolabrys","LEfSe","IW",3.40415449114426,2.37455893811195e-05,9.89613481775306e-05
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia","LEfSe","TW",3.40241753281759,2.87696073279635e-05,0.000117052069920105
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales","LEfSe","TW",3.40241753281759,2.87696073279635e-05,0.000117052069920105
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae","LEfSe","TW",3.40241753281759,2.87696073279635e-05,0.000117052069920105
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax","LEfSe","TW",3.39624853630535,3.38336840295593e-10,5.6650355760391e-09
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Nitrospinaceae","LEfSe","CW",3.39526618269496,1.03728806286274e-05,4.67689530097763e-05
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae","LEfSe","IW",3.39509319905312,7.31491422370688e-11,1.84459892642474e-09
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales","LEfSe","TW",3.39348965933342,4.55477509630564e-12,2.60128266611233e-10
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales","LEfSe","IW",3.39246907852617,6.15740514655422e-06,2.96884685235081e-05
"k__Bacteria|p__Acidobacteria|c__Holophagae|o__Subgroup 10","LEfSe","CW",3.38969607244763,2.22103251578525e-05,9.30660907429579e-05
"k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas","LEfSe","IW",3.37766137323121,9.03604520056581e-10,1.25527763056509e-08
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhodobiaceae","LEfSe","CW",3.36045942332253,1.12370751411829e-07,7.94842654481837e-07
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae","LEfSe","CW",3.35786263354387,0.000704736848892634,0.00196866706701529
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophobacteraceae","LEfSe","CW",3.34379009670035,4.96677436163117e-07,3.0635064262541e-06
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas","LEfSe","CW",3.33618951270816,0.00171060386502169,0.00429601166101539
"k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus","LEfSe","TW",3.33517722977336,3.41665569761113e-10,5.6650355760391e-09
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__TRA3-20","LEfSe","IW",3.33231381099698,6.3098704036726e-09,6.48654677497543e-08
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales","LEfSe","TW",3.32111744034033,2.97295090382116e-06,1.54874672084197e-05
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales","LEfSe","CW",3.31686378236898,1.51550424591305e-08,1.40777563084212e-07
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae","LEfSe","CW",3.31686378236898,1.51550424591305e-08,1.40777563084212e-07
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales","LEfSe","TW",3.31347818457467,8.00102440291594e-05,0.000287422847601151
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Sh765B-TzT-29","LEfSe","CW",3.31101630745998,7.72986130882525e-08,5.67592673248026e-07
"k__Bacteria|p__Bacteroidetes|c__Bacteroidetes BD2-2","LEfSe","CW",3.29260387883309,1.59945977302008e-12,1.17446046190332e-10
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Variibacter","LEfSe","IW",3.29067321321401,1.54938844080283e-08,1.4306329195916e-07
"k__Bacteria|p__Acidobacteria|c__Holophagae|o__Subgroup 10|f__Sva0725","LEfSe","CW",3.28703356161728,4.91891444552185e-07,3.0461711144557e-06
"k__Bacteria|p__Armatimonadetes","LEfSe","IW",3.28687561627965,1.11498210937925e-09,1.44479194341412e-08
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae","LEfSe","CW",3.2794879244661,1.49195841948882e-05,6.51728012139309e-05
"k__Bacteria|p__Chloroflexi|c__TK10","LEfSe","IW",3.27944836917022,1.68318485858373e-08,1.53578168753616e-07
"k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae","LEfSe","TW",3.27338842986933,0.000278168052115323,0.000854452462872167
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__43F-1404R","LEfSe","CW",3.27055846511355,0.000112585858963222,0.000384087156020549
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae","LEfSe","TW",3.26893749637788,3.51140466947601e-08,2.91106774211398e-07
"k__Bacteria|p__Actinobacteria|c__MB-A2-108","LEfSe","IW",3.26280745017025,0.000270814464493394,0.000835191808497627
