"","z","module","p","taxa_roles","Kingdom","Phylum","Class","Order","Family","Genus","Species","degree","betweenness"
"OTU_2240",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Candidatus Solibacter","s__",1,0
"OTU_2274",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Gitt-GS-136","o__","f__","g__","s__",1,0
"OTU_12238",-0.295393520039156,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 2","f__","g__","s__",2,6
"OTU_4036",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",1,0
"OTU_11045",0.113612892322752,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__Candidatus Koribacter","s__",3,11
"OTU_4147",3.35621690573339,"M3",0.444444444444444,"Module hubs","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Cellvibrionales","f__Halieaceae","g__Halioglobus","s__",23,2412
"OTU_109",0.769420309531319,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhodobiaceae","g__Anderseniella","s__",9,273
"OTU_220",0.0303355677592993,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Order Incertae Sedis","f__Family Incertae Sedis","g__Marinicella","s__",5,6
"OTU_11",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Sulfurovum","s__",1,0
"OTU_1349",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Order Incertae Sedis","f__Family Incertae Sedis","g__Marinicella","s__",1,0
"OTU_1816",0.0303355677592993,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfobulbus","s__",5,342
"OTU_7991",-0.33920680312671,"M3",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Holophagae","o__Subgroup 10","f__ABS-19","g__","s__",3,346
"OTU_853",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__","s__",1,0
"OTU_1895",0.399877938645309,"M3",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Robiginitalea","s__",7,31
"OTU_381",0.584649124088314,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__",8,64
"OTU_212",-0.33920680312671,"M3",0.152777777777778,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Imtechella","s__",3,342
"OTU_1836",-0.523977988569715,"M3",0.260355029585799,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Erythrobacteraceae","g__Altererythrobacter","s__",2,0
"OTU_45",-0.523977988569715,"M3",0.5,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__43F-1404R","f__","g__","s__",2,15
"OTU_841",-0.33920680312671,"M3",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__S085","o__","f__","g__","s__",3,28
"OTU_6413",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Yangia","s__",1,0
"OTU_1814",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__OM1 clade","g__","s__",1,0
"OTU_4348",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__KD4-96","o__","f__","g__","s__",1,0
"OTU_1831",0.954191494974323,"M3",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__",10,1182
"OTU_1859",-0.523977988569715,"M3",0.120707596253902,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes BD2-2","o__","f__","g__","s__",2,666
